Indicator,Year,Amount,Category
Long Term Loans And Advances,2015,9154.92,Borrowings
Inventories,2015,16.07,Other
Trade Receivables,2015,20437.94,Assets
Cash And Cash Equivalents,2015,18556.04,Assets
Short Term Loans And Advances,2015,4146.45,Borrowings
Bonus Equity Share Capital,2015,155.9,Equity
Equity Share Capital,2014,195.87,Equity
Total Share Capital,2014,195.87,Equity
Reserves and Surplus,2014,48998.89,Equity
Total Reserves and Surplus,2014,48998.89,Equity
Minority Interest,2014,707.99,Other
Long Term Borrowings,2014,127.26,Borrowings
Long Term Provisions,2014,385.59,Liabilities
Short Term Borrowings,2014,127.09,Borrowings
Trade Payables,2014,5536.02,Liabilities
Short Term Provisions,2014,6385.96,Liabilities
Capital Work-In-Progress,2014,3168.48,Other
Long Term Loans And Advances,2014,7286.62,Borrowings
Inventories,2014,15.21,Other
Trade Receivables,2014,18230.4,Assets
Cash And Cash Equivalents,2014,14441.84,Assets
Short Term Loans And Advances,2014,4310.8,Borrowings
Bonus Equity Share Capital,2014,155.9,Equity
Equity Share Capital,2013,195.72,Equity
Total Share Capital,2013,295.72,Equity
Reserves and Surplus,2013,38350.01,Equity
Total Reserves and Surplus,2013,38350.01,Equity
Minority Interest,2013,695.31,Other
Long Term Borrowings,2013,130.98,Borrowings
Long Term Provisions,2013,348.92,Liabilities
Short Term Borrowings,2013,80.02,Borrowings
Trade Payables,2013,4447.81,Liabilities
Short Term Provisions,2013,4233.46,Liabilities
Capital Work-In-Progress,2013,1895.36,Other
Long Term Loans And Advances,2013,5234.13,Borrowings
Inventories,2013,21.15,Other
Trade Receivables,2013,14076.56,Assets
Cash And Cash Equivalents,2013,6769.16,Assets
Short Term Loans And Advances,2013,5821.36,Borrowings
Bonus Equity Share Capital,2013,155.9,Equity
Equity Share Capital,2012,195.72,Equity
Total Share Capital,2012,295.72,Equity
Reserves and Surplus,2012,29283.51,Equity
Total Reserves and Surplus,2012,29283.51,Equity
Minority Interest,2012,558.77,Other
Long Term Borrowings,2012,115.37,Borrowings
Long Term Provisions,2012,217.65,Liabilities
Short Term Borrowings,2012,0.89,Borrowings
Trade Payables,2012,3250.78,Liabilities
Short Term Provisions,2012,4727.14,Liabilities
Capital Work-In-Progress,2012,1446.37,Other
Long Term Loans And Advances,2012,4479.68,Borrowings
Inventories,2012,17.77,Other
Trade Receivables,2012,11520.35,Assets
Cash And Cash Equivalents,2012,5813.08,Assets
Short Term Loans And Advances,2012,2229.14,Borrowings
Bonus Equity Share Capital,2012,155.9,Equity
Equity Share Capital,2011,195.72,Equity
Total Share Capital,2011,295.72,Equity
Reserves and Surplus,2011,24209.09,Equity
Total Reserves and Surplus,2011,24209.09,Equity
Minority Interest,2011,458.17,Other
Long Term Borrowings,2011,37.7,Borrowings
Long Term Provisions,2011,139.23,Liabilities
Short Term Borrowings,2011,31.57,Borrowings
Trade Payables,2011,2572.33,Liabilities
Short Term Provisions,2011,2718.93,Liabilities
Capital Work-In-Progress,2011,1193.89,Other
Long Term Loans And Advances,2011,2953.44,Borrowings
Inventories,2011,22.82,Other
Trade Receivables,2011,8194.97,Assets
Cash And Cash Equivalents,2011,4700.85,Assets
Short Term Loans And Advances,2011,1966.64,Borrowings
Bonus Equity Share Capital,2011,155.9,Equity
Equity Share Capital,2010,195.72,Equity
Total Share Capital,2010,295.72,Equity
Reserves and Surplus,2010,18171.0,Equity
Total Reserves and Surplus,2010,18171.0,Equity
Minority Interest,2010,361.71,Other
Long Term Borrowings,2010,44.94,Borrowings
Long Term Provisions,2010,0.0,Liabilities
Short Term Borrowings,2010,58.31,Borrowings
Trade Payables,2010,2977.73,Liabilities
Short Term Provisions,2010,4300.07,Liabilities
Capital Work-In-Progress,2010,1017.37,Other
Long Term Loans And Advances,2010,0.0,Borrowings
Inventories,2010,17.79,Other
Trade Receivables,2010,5855.41,Assets
Cash And Cash Equivalents,2010,4718.59,Assets
Short Term Loans And Advances,2010,5197.09,Borrowings
Bonus Equity Share Capital,2010,155.9,Equity
Equity Share Capital,2009,97.86,Equity
Total Share Capital,2009,197.86,Equity
Reserves and Surplus,2009,15502.15,Equity
Total Reserves and Surplus,2009,15502.15,Equity
Minority Interest,2009,277.16,Other
Long Term Borrowings,2009,561.76,Borrowings
Long Term Provisions,2009,0.0,Liabilities
Short Term Borrowings,2009,1.45,Borrowings
Trade Payables,2009,2114.37,Liabilities
Short Term Provisions,2009,1726.57,Liabilities
Capital Work-In-Progress,2009,705.49,Other
Long Term Loans And Advances,2009,0.0,Borrowings
Inventories,2009,36.6,Other
Trade Receivables,2009,6022.88,Assets
Cash And Cash Equivalents,2009,2698.14,Assets
Short Term Loans And Advances,2009,4765.98,Borrowings
Bonus Equity Share Capital,2009,58.04,Equity
Equity Share Capital,2008,97.86,Equity
Total Share Capital,2008,197.86,Equity
Reserves and Surplus,2008,12102.26,Equity
Total Reserves and Surplus,2008,12102.26,Equity
Minority Interest,2008,212.73,Other
Long Term Borrowings,2008,445.75,Borrowings
Long Term Provisions,2008,0.0,Liabilities
Short Term Borrowings,2008,9.27,Borrowings
Trade Payables,2008,1887.94,Liabilities
Short Term Provisions,2008,1286.61,Liabilities
Capital Work-In-Progress,2008,906.87,Other
Long Term Loans And Advances,2008,0.0,Borrowings
Inventories,2008,42.43,Other
Trade Receivables,2008,5378.07,Assets
Cash And Cash Equivalents,2008,1223.4,Assets
Short Term Loans And Advances,2008,3386.6,Borrowings
Bonus Equity Share Capital,2008,58.04,Equity
Equity Share Capital,2007,97.86,Equity
Total Share Capital,2007,97.86,Equity
Reserves and Surplus,2007,8752.24,Equity
Total Reserves and Surplus,2007,8752.24,Equity
Minority Interest,2007,211.8,Other
Long Term Borrowings,2007,447.23,Borrowings
Long Term Provisions,2007,0.0,Liabilities
Short Term Borrowings,2007,59.52,Borrowings
Trade Payables,2007,1329.61,Liabilities
Short Term Provisions,2007,1023.66,Liabilities
Capital Work-In-Progress,2007,793.04,Other
Long Term Loans And Advances,2007,0.0,Borrowings
Inventories,2007,41.6,Other
Trade Receivables,2007,4297.93,Assets
Cash And Cash Equivalents,2007,1396.45,Assets
Short Term Loans And Advances,2007,2090.58,Borrowings
Bonus Equity Share Capital,2007,58.04,Equity
Equity Share Capital,2006,48.93,Equity
Total Share Capital,2006,48.93,Equity
Reserves and Surplus,2006,5949.88,Equity
Total Reserves and Surplus,2006,5949.88,Equity
Minority Interest,2006,164.72,Other
Long Term Borrowings,2006,26.03,Borrowings
Long Term Provisions,2006,0.0,Liabilities
Short Term Borrowings,2006,90.66,Borrowings
Trade Payables,2006,1023.41,Liabilities
Short Term Provisions,2006,571.63,Liabilities
Capital Work-In-Progress,2006,708.96,Other
Long Term Loans And Advances,2006,0.0,Borrowings
Inventories,2006,80.64,Other
Trade Receivables,2006,3253.13,Assets
Cash And Cash Equivalents,2006,432.38,Assets
Short Term Loans And Advances,2006,1408.63,Borrowings
Bonus Equity Share Capital,2006,9.11,Equity
Equity Share Capital,2005,48.01,Equity
Total Share Capital,2005,48.01,Equity
Reserves and Surplus,2005,3429.53,Equity
Total Reserves and Surplus,2005,3429.53,Equity
Minority Interest,2005,89.74,Other
Long Term Borrowings,2005,10.28,Borrowings
Long Term Provisions,2005,0.0,Liabilities
Short Term Borrowings,2005,192.73,Borrowings
Trade Payables,2005,662.62,Liabilities
Short Term Provisions,2005,548.35,Liabilities
Capital Work-In-Progress,2005,124.05,Other
Long Term Loans And Advances,2005,0.0,Borrowings
Inventories,2005,32.0,Other
Trade Receivables,2005,2060.55,Assets
Cash And Cash Equivalents,2005,274.69,Assets
Short Term Loans And Advances,2005,883.39,Borrowings
Bonus Equity Share Capital,2005,9.11,Equity
Equity Share Capital,2004,36.44,Equity
Total Share Capital,2004,36.44,Equity
Reserves and Surplus,2004,10.64,Equity
